type, value, quantity, info,
capacitor, 22pf, 3, 5% ceramic,
capacitor, 10nf, 1, 63v polyester,
capacitor, 2.2nf, 1, 63v polyester,
capacitor, 33nf, 2, 63v polyester,
capacitor, 100nf, 6, 5% ceramic,
capacitor, 10uf, 5, 50v electrolytic,
capacitor, 22uf, 1, 50v electrolytic,
diode, 1n4004, 2,,
resistor, 22r, 1, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 10k, 3, 1% 0.5w metal film,
resistor, 2k2, 3, 1% 0.5w metal film,
resistor, 4k7, 1, 1% 0.5w metal film,
resistor, 6k8, 1, 1% 0.5w metal film,
resistor, 22k, 1, 1% 0.5w metal film,
resistor, 100k, 2, 1% 0.5w metal film,
connector, 4-pin, 1, pin header,
connector, 4-pin, 1, pin socket,
connector, 3-pin, 2, pin header,
connector, 3-pin, 2, pin socket,
chip, tl072, 2, dual jfet opamp,
chip, ne5532, 1, dual opamp,
socket, black banana socket, 2,,
socket, white banana socket, 1,,
socket, RCA socket red, 1,,
socket, RCA socket white, 1,,
connector, 4-pin pcb SIL interconnect socket, 1,,
connector, 4-pin pcb SIL interconnect header, 1,,
connector, 3-pin pcb SIL interconnect socket, 2,,
connector, 3-pin pcb SIL interconnect header, 2,,
potentiometer, 10k linear, 1,pcb mount,
potentiometer, 100k log, 1,pcb mount,
potentiometer, 100k linear, 1,pcb mount,
trimpot, 10k, 1, 1tv triangle footprint,
hardware, serge 1900h knob, 3,,
hardware, spring reverb tank, 1,,
hardware, M3 11mm female-female threaded spacer, 2,,
